Language,count,median_salary,mean_salary,avg_tiobe_rating
JavaScript,13216,63694.0,75775.41949152542,3.5017
SQL,11571,64691.0,77889.34413620258,1.8133
HTML/CSS,10881,61770.0,73618.14456391876,
Python,10373,67666.0,81249.88335100742,17.9842
TypeScript,8979,65799.0,79122.21450050117,
Bash,7764,75184.0,89073.07122617208,
Java,6062,60441.0,74434.64285714286,9.0633
C#,6002,65514.0,76516.86304565145,6.4
C++,3953,63694.0,77670.46445737415,10.391700000000002
PHP,3601,50000.0,60816.66620383227,1.3367
C,3245,62420.0,76073.89953775039,9.7525
PowerShell,3211,72268.0,81634.79881656804,
Go,3142,75579.0,91708.16709102482,1.93
Rust,2616,75184.0,90930.24617737003,1.1408
Kotlin,1962,64984.0,78127.49286442406,1.002
Ruby,1210,90000.0,102287.96859504133,1.0733
Lua,1109,71425.0,84295.73579801623,
Dart,1088,44586.0,58944.79136029412,
Swift,941,74000.0,89269.75451647183,1.1025
R,854,64444.0,75797.60538641686,1.0517
Groovy,829,78183.0,91481.26658624849,
Visual Basic (.Net),813,63600.0,69350.78720787208,1.9274999999999998
VBA,719,64444.0,74728.62030598053,
Assembly,713,59898.0,76459.64095371669,
MATLAB,644,53094.0,66618.42391304347,1.2733
Scala,624,85925.0,100446.86057692308,
Elixir,510,92213.0,105165.17450980392,
Perl,500,89153.0,97508.152,
Objective-C,413,71073.0,93005.09685230024,
GDScript,381,60000.0,72508.69816272966,
Delphi,348,62252.5,69857.658045977,1.4858
Haskell,312,66777.0,81916.76282051283,
Clojure,307,95541.0,109186.87622149837,
Lisp,260,79899.0,94151.21153846153,
MicroPython,218,75882.5,85361.71559633028,
Erlang,194,95692.0,108042.29896907216,
Julia,191,65514.0,82962.36125654451,
F#,183,80000.0,97442.9781420765,
Apex,178,79906.0,94837.84831460674,
Solidity,177,65000.0,80228.32203389831,
Fortran,173,72693.0,86719.07514450866,1.5942
Zig,160,75184.0,85686.29375,
Cobol,111,68441.0,77545.63963963964,0.9456
OCaml,110,72693.0,88346.46363636364,
Prolog,107,42962.0,62247.6261682243,
Ada,86,42852.0,61235.151162790695,
Zephyr,57,64444.0,72398.29824561403,
Crystal,53,75000.0,88125.35849056604,
Nim,29,100000.0,93414.62068965517,
